Time,hull Moment Monitor: hull Moment Monitor (N-m),tank Moment Monitor: tank Moment Monitor (N-m),Total Moment Monitor: Total Moment Monitor (N-m)
7.15,-5.13E+09,3.86E+09,-1.27E+09
7.25,-4.97E+09,3.84E+09,-1.13E+09
7.3,-4.95E+09,3.89E+09,-1.06E+09
7.35,-4.89E+09,3.82E+09,-1.06E+09
7.4,-4.77E+09,3.86E+09,-9.09E+08
7.45,-4.74E+09,3.81E+09,-9.34E+08
7.55,-4.56E+09,3.78E+09,-7.74E+08
7.6,-4.48E+09,3.80E+09,-6.75E+08
7.65,-4.39E+09,3.76E+09,-6.27E+08
7.7,-4.30E+09,3.78E+09,-5.18E+08
7.75,-4.21E+09,3.74E+09,-4.75E+08
7.85,-4.03E+09,3.72E+09,-3.15E+08
7.9,-3.89E+09,3.71E+09,-1.80E+08
7.95,-3.85E+09,3.69E+09,-1.62E+08
8,-3.55E+09,3.67E+09,1.24E+08
8.1,-3.18E+09,3.63E+09,4.53E+08
8.15,-3.45E+09,3.62E+09,1.64E+08
8.2,-2.95E+09,3.58E+09,6.31E+08
8.25,-2.73E+09,3.58E+09,8.49E+08
8.3,-2.67E+09,3.48E+09,8.12E+08
8.4,-2.27E+09,3.47E+09,1.20E+09
8.45,-2.84E+09,3.51E+09,6.70E+08
8.5,-2.22E+09,3.46E+09,1.24E+09
8.55,-2.56E+09,3.50E+09,9.47E+08
8.6,-2.31E+09,3.43E+09,1.12E+09
8.7,-2.14E+09,3.41E+09,1.27E+09
8.75,-2.28E+09,3.47E+09,1.18E+09
8.8,-2.05E+09,3.40E+09,1.34E+09
8.85,-2.07E+09,3.40E+09,1.33E+09
8.9,-1.98E+09,3.41E+09,1.43E+09
9,-1.91E+09,3.36E+09,1.45E+09
9.05,-1.73E+09,3.42E+09,1.69E+09
9.1,-1.72E+09,3.32E+09,1.60E+09
9.15,-1.63E+09,3.39E+09,1.76E+09
9.25,-1.49E+09,3.38E+09,1.89E+09
9.3,-1.50E+09,3.27E+09,1.76E+09
9.35,-1.35E+09,3.36E+09,2.01E+09
9.4,-1.34E+09,3.25E+09,1.91E+09
9.45,-1.30E+09,3.35E+09,2.05E+09
9.55,-1.17E+09,3.33E+09,2.16E+09
9.6,-1.20E+09,3.21E+09,2.01E+09
9.65,-1.01E+09,3.31E+09,2.30E+09
9.7,-1.08E+09,3.20E+09,2.12E+09
9.75,-9.70E+08,3.31E+09,2.34E+09
9.85,-9.10E+08,3.29E+09,2.38E+09
9.9,-8.86E+08,3.17E+09,2.29E+09
9.95,-8.49E+08,3.28E+09,2.44E+09
10,-8.18E+08,3.16E+09,2.34E+09
10.05,-7.96E+08,3.28E+09,2.48E+09
10.15,-7.60E+08,3.27E+09,2.51E+09
10.2,-7.03E+08,3.14E+09,2.44E+09
