"Time","Heaving Translation Monitor: Heaving Translation Monitor (m)","Rolling Orientation Monitor: Rolling Orientation Monitor (deg)"
0.05,0.0,0.2864734186426806
0.1,0.0,0.5729368346204904
0.15000000000000002,0.0,0.8594087121286299
0.2,0.0,1.145901369620204
0.25,0.0,1.4323966153557008
0.3,0.0,1.7188777431469298
0.35,0.0,2.0053405056127596
0.39999999999999997,0.0,2.2917820350053804
0.44999999999999996,0.0,2.5781943066820165
0.49999999999999994,0.0,2.8645644014867737
0.5499999999999999,0.0,3.1508767120758208
0.6,0.0,3.4371131490986513
0.65,0.0,3.7232526716882055
0.7000000000000001,0.0,4.0092710168497385
0.7500000000000001,0.0,4.295139896225568
0.8000000000000002,0.0,4.580826630353393
0.8500000000000002,0.0,4.866293444185426
0.9000000000000002,0.0,5.151498229594918
0.9500000000000003,0.0,5.436395396192982
1.0000000000000002,0.0,5.7209371087443115
1.0500000000000003,0.0,6.005070750089329
1.1000000000000003,0.0,6.28873729480951
1.1500000000000004,0.0,6.571874747450666
1.2000000000000004,0.0,6.854414240498725
1.2500000000000004,0.0,7.136281558022216
1.3000000000000005,0.0,7.417399213542005
1.3500000000000005,0.0,7.697679806656408
1.4000000000000006,0.0,7.977030647305966
1.4500000000000006,0.0,8.255356686603312
1.5000000000000007,0.0,8.532557831148393
1.5500000000000007,0.0,8.808532825802123
1.6000000000000008,0.0,9.083174817543545
1.6500000000000008,0.0,9.356370584852467
1.7000000000000008,0.0,9.627997269632022
1.7500000000000009,0.0,9.89792671144122
1.800000000000001,0.0,10.166034391228498
1.850000000000001,0.0,10.432190943400885
1.900000000000001,0.0,10.696257188184855
1.950000000000001,0.0,10.958087441355751
2.000000000000001,0.0,11.217531084222658
2.0500000000000007,0.0,11.474445230580786
2.1000000000000005,0.0,11.728680909185199
2.1500000000000004,0.0,11.980071814758356
2.2,0.0,12.228446460938798
2.25,0.0,12.473635300850793
2.3,0.0,12.715472229962133
2.3499999999999996,0.0,12.953799064634461
2.3999999999999995,0.0,13.188449710955462
2.4499999999999993,0.0,13.419247161077047
2.499999999999999,0.0,13.646020790943604
2.549999999999999,0.0,13.868601696367953
2.5999999999999988,0.0,14.086816831494168
2.6499999999999986,0.0,14.300502458749357
2.6999999999999984,0.0,14.509487083197673
2.7499999999999982,0.0,14.713586362652755
2.799999999999998,0.0,14.912611375027717
2.849999999999998,0.0,15.106389969672078
2.8999999999999977,0.0,15.294756020087876
2.9499999999999975,0.0,15.477534643723962
2.9999999999999973,0.0,15.654555529284663
3.049999999999997,0.0,15.825664106897934
3.099999999999997,0.0,15.990698856787342
3.149999999999997,0.0,16.14948786484076
3.1999999999999966,0.0,16.301875218099728
3.2499999999999964,0.0,16.44772903632729
3.2999999999999963,0.0,16.586911998019097
3.349999999999996,0.0,16.719276470031605
3.399999999999996,0.0,16.84468252200393
3.4499999999999957,0.0,16.96300703700731
3.4999999999999956,0.0,17.074120763922224
3.5499999999999954,0.0,17.177887729498604
3.599999999999995,0.0,17.27419386154112
3.649999999999995,0.0,17.362947721097584
3.699999999999995,0.0,17.444046192175215
3.7499999999999947,0.0,17.51738759797999
3.7999999999999945,0.0,17.582888695788537
3.8499999999999943,0.0,17.64047986584381
3.899999999999994,0.0,17.690092587019794
3.949999999999994,0.0,17.731658775376932
3.999999999999994,0.0,17.765116440616506
4.049999999999994,0.0,17.790429164794674
4.099999999999993,0.0,17.80756230379952
4.149999999999993,0.0,17.81646405498304
4.199999999999993,0.0,17.81710017286881
4.249999999999993,0.0,17.809451872061945
4.299999999999993,0.0,17.79350079343157
4.3499999999999925,0.0,17.769252808225527
4.399999999999992,0.0,17.7367165285225
4.449999999999992,0.0,17.695883458705758
4.499999999999992,0.0,17.64676255413426
4.549999999999992,0.0,17.589396167811657
4.599999999999992,0.0,17.523826295363104
4.6499999999999915,0.0,17.45009101253896
4.699999999999991,0.0,17.368238951272968
4.749999999999991,0.0,17.27832541924111
4.799999999999991,0.0,17.18041084090653
4.849999999999991,0.0,17.074553994506193
4.899999999999991,0.0,16.960824219644056
4.94999999999999,0.0,16.839304073173917
4.99999999999999,0.0,16.710081541552167
5.04999999999999,0.0,16.573255460014742
5.09999999999999,0.0,16.428915670932465
5.14999999999999,0.0,16.277138686223957
5.1999999999999895,0.0,16.118031474579475
5.249999999999989,0.0,15.951709203556815
5.299999999999989,0.0,15.778272207047921
5.349999999999989,0.0,15.597836401614908
5.399999999999989,0.0,15.41053161652631
5.449999999999989,0.0,15.216495883031655
5.4999999999999885,0.0,15.015874560405678
5.549999999999988,0.0,14.808769795114241
5.599999999999988,0.0,14.59529978244571
5.649999999999988,0.0,14.375630487502423
5.699999999999988,0.0,14.1499049857619
5.749999999999988,0.0,13.918242570188124
5.799999999999987,0.0,13.680757347262428
5.849999999999987,0.0,13.437580558757231
5.899999999999987,0.0,13.188859372031159
5.949999999999987,0.0,12.934705675725297
5.999999999999987,0.0,12.675224872102884
6.0499999999999865,0.0,12.410553147439543
6.099999999999986,0.0,12.140839669299135
6.149999999999986,0.0,11.86623585528642
6.199999999999986,0.0,11.586904003532569
6.249999999999986,0.0,11.302989255892324
6.299999999999986,0.0,11.014648862946448
6.349999999999985,0.0,10.722051485616301
6.399999999999985,0.0,10.425325566828493
6.449999999999985,0.0,10.124588677735348
6.499999999999985,0.0,9.819981822231718
6.549999999999985,0.0,9.511661575042288
6.5999999999999845,0.0,9.199759695397272
6.649999999999984,0.0,8.884385297058387
6.699999999999984,0.0,8.565711132889312
6.749999999999984,0.0,8.243953611465562
6.799999999999984,0.0,7.9192673872128205
6.849999999999984,0.0,7.59173910110183
6.8999999999999835,0.0,7.261458371824954
6.949999999999983,0.0,6.928562128719684
6.999999999999983,0.0,6.5932185289676735
7.049999999999983,0.0,6.255599372003558
7.099999999999983,0.0,5.915879121543435
7.149999999999983,0.0,5.57418510821921
7.199999999999982,0.0,5.23063549470199
7.249999999999982,0.0,4.885394988964584
7.299999999999982,0.0,4.538618742416406
7.349999999999982,0.0,4.190457794091867
7.399999999999982,0.0,3.8410567092614465
7.4499999999999815,0.0,3.4905318326166634
7.499999999999981,0.0,3.139017862171747
7.549999999999981,0.0,2.7866843117715487
7.599999999999981,0.0,2.433690710121462
7.649999999999981,0.0,2.0801328533597174
7.699999999999981,0.0,1.7260857026001888
7.7499999999999805,0.0,1.3716592270428707
7.79999999999998,0.0,1.017036482634796
7.84999999999998,0.0,0.6624117926954566
7.89999999999998,0.0,0.30795453390722316
7.94999999999998,0.0,-0.04617277185859525
7.99999999999998,0.0,-0.399732631174917
8.04999999999998,0.0,-0.7524479110520258
8.09999999999998,0.0,-1.1042268815597418
8.14999999999998,0.0,-1.455037080195475
8.199999999999982,0.0,-1.8047571574322592
8.249999999999982,0.0,-2.1532737464182956
8.299999999999983,0.0,-2.500470862113516
8.349999999999984,0.0,-2.8461759779350775
8.399999999999984,0.0,-3.1902149803228657
8.449999999999985,0.0,-3.53248823604601
8.499999999999986,0.0,-3.8728873802621684
8.549999999999986,0.0,-4.211266346058696
8.599999999999987,0.0,-4.547480020371374
8.649999999999988,0.0,-4.881371401933765
8.699999999999989,0.0,-5.212784367643216
8.74999999999999,0.0,-5.541595388051505
8.79999999999999,0.0,-5.86770321113714
8.84999999999999,0.0,-6.190984857091669
8.899999999999991,0.0,-6.511272015535215
