"Time","Pitching Orientation Monitor: Pitching Orientation Monitor (deg)"
0.05,-2.501137614546293E-7
0.1,-1.5056137544408825E-6
0.15000000000000002,-3.1297962754555993E-6
0.2,-2.2413320348894193E-6
0.25,3.2540326658218167E-6
0.35,2.5817182561184062E-5
0.39999999999999997,4.1829301456029636E-5
0.44999999999999996,6.321444570120844E-5
0.49999999999999994,9.278201874855201E-5
0.5499999999999999,1.3338188447717693E-4
0.65,2.5640745935310503E-4
0.7000000000000001,3.423831067135801E-4
0.7500000000000001,4.4806104499371484E-4
0.8000000000000002,5.772226885110785E-4
0.8500000000000002,7.342011073769143E-4
0.9500000000000003,0.0011479885635528706
1.0000000000000002,0.0014127713265855012
1.0500000000000003,0.0017225038931225763
1.1000000000000003,0.002082388546101524
1.2000000000000004,0.00297257692418419
1.2500000000000004,0.0035149452156748857
1.3000000000000005,0.004130685596642347
1.3500000000000005,0.0048255487156439675
1.4000000000000006,0.005605600411380625
1.5000000000000007,0.0074490393067474575
1.5500000000000007,0.008526238245775256
1.6000000000000008,0.009715452983898004
1.6500000000000008,0.011022097945438672
1.7000000000000008,0.012452556067505718
1.800000000000001,0.015712796886181178
1.850000000000001,0.017555384329551914
1.900000000000001,0.019547062588700755
1.950000000000001,0.021691420171051846
2.000000000000001,0.02399271829134059
2.1000000000000005,0.029086290579963852
2.1500000000000004,0.03188227357351827
2.2,0.03484406443663462
2.25,0.037970172505867456
2.3499999999999996,0.044700270199691014
2.3999999999999995,0.048298077953021906
2.4499999999999993,0.05205104167171068
2.499999999999999,0.05595893711792759
2.549999999999999,0.06002106172827329
2.6499999999999986,0.06860788167981566
2.6999999999999984,0.0731342948127964
2.7499999999999982,0.07781765741103391
2.799999999999998,0.08265720847746702
2.849999999999998,0.08765269835662337
2.9499999999999975,0.09811950186044047
2.9999999999999973,0.10359037547948116
3.049999999999997,0.10921780803664703
3.099999999999997,0.1150000932256271
3.149999999999997,0.12093532508840045
3.2499999999999964,0.13324533394897178
3.2999999999999963,0.13961180897508546
3.349999999999996,0.14611322175408548
3.399999999999996,0.1527423084405529
3.4999999999999956,0.16635562284290523
3.5499999999999954,0.17332334938785088
3.599999999999995,0.18038724256785751
3.649999999999995,0.18753603749447098
3.699999999999995,0.19475932829207676
3.7999999999999945,0.20938945612928855
3.8499999999999943,0.21676776902065376
3.899999999999994,0.22417258795356027
3.949999999999994,0.23158866675295323
3.999999999999994,0.2390024436626207
4.099999999999993,0.25377529115743513
4.149999999999993,0.2610986945097694
