"Time","hull Moment Monitor: hull Moment Monitor (N-m)","tank Moment Monitor: tank Moment Monitor (N-m)","Total Moment Monitor: Total Moment Monitor (N-m)"
0.05,-1.0435030120721878E10,-3405570.9716066457,-1.0438435691693485E10
0.1,-2.3221910893351445E9,2918110.426530611,-2.3192729789086137E9
0.15000000000000002,8.217956126889272E8,2083966.8150116056,8.238795795039388E8
0.2,9.869320657365019E8,-227239.87137321383,9.867048258651288E8
0.25,2.624218733596462E8,-936422.8697964177,2.6148545048984978E8
0.35,-4.9201427602915096E8,85610.26858820021,-4.919286657605628E8
0.39999999999999997,-3.244393313636179E8,180722.60347159952,-3.242586087601463E8
0.44999999999999996,-2.1583816841549444E8,-7783.284892365336,-2.158459517003868E8
0.49999999999999994,-2.3558902157273674E8,-100039.94751352817,-2.356890615202503E8
0.5499999999999999,-2.6832903527195126E8,-75604.64798740298,-2.6840463991993865E8
0.65,-3.250300641038879E8,38448.69726642221,-3.2499161540662146E8
0.7000000000000001,-3.3374601500153697E8,43562.84433544427,-3.337024521572015E8
0.7500000000000001,-3.1204644991811776E8,1243.0271665751934,-3.1204520689095116E8
0.8000000000000002,-3.3571917354568696E8,-17920.689237229526,-3.3573709423492414E8
0.8500000000000002,-3.23996910785182E8,3046.500790089369,-3.2399386428439194E8
0.9500000000000003,-3.365655421056482E8,7184.171912893653,-3.365583579337354E8
1.0000000000000002,-3.644611321432792E8,-1180.298807039857,-3.644623124420862E8
1.0500000000000003,-3.510773820808573E8,17600.05506825447,-3.51059782025789E8
1.1000000000000003,-3.701732775153059E8,8037.178260043263,-3.701652403370458E8
1.2000000000000004,-3.779283405069575E8,8501.698862873018,-3.7791983880809456E8
1.2500000000000004,-3.639689860958446E8,35924.432239323854,-3.6393306166360533E8
1.3000000000000005,-3.836831438126323E8,35329.07113713771,-3.836478147414952E8
1.3500000000000005,-3.6884107076929307E8,52603.26830799878,-3.68788467500985E8
1.4000000000000006,-3.904587403564178E8,49427.305725865066,-3.904093130506919E8
1.5000000000000007,-3.893718570100856E8,60577.08858086169,-3.8931127992150474E8
1.5500000000000007,-3.729529254810581E8,81356.66818380356,-3.728715688128743E8
1.6000000000000008,-3.8978184208048034E8,69789.5257749036,-3.8971205255470544E8
1.6500000000000008,-3.702884504689183E8,82360.96356751025,-3.702060895053508E8
1.7000000000000008,-3.851468734977923E8,41899.75310483575,-3.8510497374468744E8
1.800000000000001,-3.7980626237458324E8,9105.24317407608,-3.797971571314091E8
1.850000000000001,-3.5592222287746334E8,17038.89786376059,-3.5590518397959954E8
1.900000000000001,-3.6855909040556335E8,-47653.97955738753,-3.6860674438512075E8
1.950000000000001,-3.4069480612765914E8,-60519.683030392975,-3.4075532581068957E8
2.000000000000001,-3.496625452565365E8,-151646.9932026118,-3.4981419224973905E8
2.1000000000000005,-3.230064589099581E8,-311617.98069991916,-3.233180768906581E8
2.1500000000000004,-2.903744723449596E8,-381720.90909965336,-2.9075619325405926E8
2.2,-2.9642499004700303E8,-505236.4129946381,-2.9693022645999765E8
2.25,-2.600879443542241E8,-548370.751788877,-2.6063631510601294E8
2.3499999999999996,-2.271104604347288E8,-763034.8609874919,-2.278734952957163E8
2.3999999999999995,-2.276375881574834E8,-905560.3888591528,-2.2854314854634255E8
2.4499999999999993,-1.8915221118082273E8,-981128.6740682945,-1.9013333985489103E8
2.499999999999999,-1.9510895218777728E8,-1129795.7209273428,-1.9623874790870464E8
2.549999999999999,-1.537905181562894E8,-1149672.708659023,-1.5494019086494842E8
2.6499999999999986,-1.1866195341585517E8,-1372069.3416353613,-1.2003402275749053E8
2.6999999999999984,-1.2328356907922125E8,-1502554.751235664,-1.2478612383045691E8
2.7499999999999982,-8.273088495137167E7,-1512048.9735369831,-8.424293392490865E7
2.799999999999998,-8.917816384301305E7,-1637739.8536297157,-9.081590369664276E7
2.849999999999998,-5.055872523851037E7,-1628620.8320441097,-5.218734607055448E7
2.9499999999999975,-1.923400869432634E7,-1692574.5499668717,-2.0926583244293213E7
2.9999999999999973,-2.3520290279249668E7,-1759199.3391897231,-2.527948961843939E7
3.049999999999997,1.1821923878203869E7,-1711314.898413442,1.0110608979790427E7
3.099999999999997,2584982.1534764767,-1751852.400958024,833129.7525184527
3.149999999999997,3.529436529217592E7,-1641448.9781523347,3.3652916314023584E7
3.2499999999999964,6.443661168107414E7,-1521976.0862360299,6.291463559483811E7
3.2999999999999963,5.162534207221365E7,-1535278.125205472,5.009006394700818E7
3.349999999999996,8.295541786590642E7,-1358940.6414463222,8.15964772244601E7
3.399999999999996,7.180145760819668E7,-1303542.0452535078,7.049791556294316E7
3.4999999999999956,8.895872193260634E7,-1074607.381147936,8.78841145514584E7
3.5499999999999954,1.1752468139390841E8,-849670.67831406,1.1667501071559435E8
3.599999999999995,1.0270520330581611E8,-734926.9709565341,1.0197027633485958E8
3.649999999999995,1.3074938291089064E8,-480907.35708137974,1.3026847555380926E8
3.699999999999995,1.1642883155144006E8,-404028.5448426381,1.1602480300659743E8
3.7999999999999945,1.2571075622912854E8,-99638.74178462848,1.256111174873439E8
3.8499999999999943,1.552028365353583E8,204855.99020409584,1.554076925255624E8
3.899999999999994,1.371844676003574E8,255966.8901732415,1.3744043449053067E8
3.949999999999994,1.6470054543650818E8,494133.0551303029,1.6519467849163848E8
3.999999999999994,1.442688094742509E8,623917.9375788197,1.448927274118297E8
4.099999999999993,1.4701318545588982E8,1047437.3412198722,1.4806062279710966E8
4.149999999999993,1.7421841132286686E8,1379681.8065916449,1.755980931294585E8
4.199999999999993,1.493533043832298E8,1500955.2910383493,1.5085425967426813E8
4.249999999999993,1.7640951895560753E8,1805026.7050613612,1.782145456606689E8
4.299999999999993,1.505171551887946E8,1909191.2851080447,1.5242634647390264E8
4.399999999999992,1.484001703137864E8,2425753.7722245827,1.50825924086011E8
4.449999999999992,1.7432730227918553E8,2791268.3254041374,1.7711857060458964E8
4.499999999999992,1.2224492834554577E8,3124560.3872964755,1.2536948873284224E8
4.549999999999992,1.6087212402929363E8,3891578.210922092,1.6476370224021572E8
4.6499999999999915,1.5757931047522497E8,4247206.010754302,1.6182651648597926E8
4.699999999999991,1.0536892440199634E8,4389768.290235266,1.0975869269223161E8
4.749999999999991,1.2866420014279321E8,5180734.094033264,1.3384493423682646E8
4.799999999999991,1.1495311424760006E8,5420433.619136669,1.2037354786673672E8
4.849999999999991,1.2231401191405272E8,5327773.045279708,1.2764178495933244E8
4.94999999999999,1.3370622910901955E8,5904672.265827611,1.3961090137484717E8
4.99999999999999,6.1519223847064406E7,6053626.449143566,6.757285029620796E7
5.04999999999999,1.0632466907806015E8,7140517.3509395495,1.1346518642899969E8
5.09999999999999,8.32586888875711E7,6993121.23746331,9.02518101250344E7
5.14999999999999,8.17568743221466E7,6837263.37962985,8.859413770177644E7
5.249999999999989,9.334193248182458E7,7611198.1737816855,1.0095313065560627E8
5.299999999999989,5.197210939739564E7,7371237.280568235,5.9343346677963875E7
5.349999999999989,4.6989657158066034E7,8203392.34298566,5.5193049501051694E7
5.399999999999989,3.6692255275303096E7,8968135.397282727,4.566039067258582E7
5.449999999999989,6.055344320184982E7,8715538.02449125,6.926898122634107E7
5.549999999999988,3.439783057050407E7,9190035.566960916,4.3587866137464985E7
5.599999999999988,-2.222614661784798E7,9839997.492713958,-1.2386149125134021E7
5.649999999999988,1.161112650749433E7,1.0505322077200972E7,2.2116448584695302E7
5.699999999999988,-9174508.428203464,1.0176540797524415E7,1002032.3693209514
5.799999999999987,-3.533644642203283E7,1.0356524147956423E7,-2.497992227407641E7
5.849999999999987,-2.752818597563982E7,1.0957978136247635E7,-1.6570207839392185E7
5.899999999999987,-5.590452496430504E7,1.1179913804422662E7,-4.472461115988238E7
5.949999999999987,-5.0069192374249995E7,1.1457273581798442E7,-3.861191879245155E7
5.999999999999987,-1.0093311061456466E8,1.1985831126232892E7,-8.894727948833176E7
6.099999999999986,-9.836121882928962E7,1.2594636788923964E7,-8.576658204036565E7
6.149999999999986,-9.608266997173882E7,1.2372854299313433E7,-8.370981567242537E7
6.199999999999986,-1.2665679891924238E8,1.268422650183905E7,-1.1397257241740334E8
6.249999999999986,-1.2078639052162099E8,1.3267337111238316E7,-1.0751905341038267E8
6.299999999999986,-1.4653941704819226E8,1.3520132850435123E7,-1.3301928419775714E8
6.399999999999985,-1.7076225944261634E8,1.400299269099351E7,-1.5675926675162283E8
6.449999999999985,-1.7207002236322558E8,1.426796463883166E7,-1.578020577243939E8
6.499999999999985,-1.9757113804682508E8,1.4499368768091284E7,-1.830717692787338E8
6.549999999999985,-1.96216036582345E8,1.4843974015350781E7,-1.8137206256699422E8
6.5999999999999845,-2.207600708900243E8,1.5069017710167207E7,-2.056910531798571E8
6.699999999999984,-2.4797286381139863E8,1.5568077880293943E7,-2.3240478593110472E8
6.749999999999984,-2.474978061637963E8,1.5817732094687968E7,-2.3168007406910834E8
6.799999999999984,-2.712814364644049E8,1.5999639304246575E7,-2.552817971601583E8
6.849999999999984,-2.7129186518491054E8,1.6290434870073035E7,-2.5500143031483752E8
6.949999999999983,-2.9482518960563135E8,1.6669544163130268E7,-2.781556454425011E8
6.999999999999983,-3.1412979865944004E8,1.6739549877594821E7,-2.973902487818453E8
7.049999999999983,-3.1694303192731756E8,1.686113014425122E7,-3.0008190178306633E8
7.099999999999983,-3.3580300029835576E8,1.7042710209032454E7,-3.1876029008932334E8
7.149999999999983,-3.3632781502629614E8,1.7268229541222073E7,-3.1905958548507404E8
7.249999999999982,-3.633037650342382E8,1.7645373746694364E7,-3.456583912875439E8
7.299999999999982,-3.789940903456435E8,1.768525143903639E7,-3.6130883890660715E8
7.349999999999982,-3.8165914769927156E8,1.7638439752541024E7,-3.6402070794673055E8
7.399999999999982,-4.0132085282043254E8,1.77371500621336E7,-3.83583702758299E8
7.4499999999999815,-3.9823516079505634E8,1.7951730685618952E7,-3.802834301094374E8
7.549999999999981,-4.1670514319996476E8,1.7768388899799123E7,-3.9893675430016565E8
7.599999999999981,-4.305334202936735E8,1.7811039213632435E7,-4.1272238108004105E8
7.649999999999981,-4.328096631560547E8,1.786764822232663E7,-4.1494201493372804E8
7.699999999999981,-4.40250497998639E8,1.7804349616526127E7,-4.2244614838211286E8
7.7499999999999805,-4.4135002544130707E8,1.7640791647273116E7,-4.2370923379403394E8
7.84999999999998,-4.548354962660431E8,1.74967238574377E7,-4.373387724086054E8
7.89999999999998,-4.610434746642292E8,1.737282646098052E7,-4.436706482032487E8
7.94999999999998,-4.563679372316892E8,1.713808957929048E7,-4.392298476523987E8
7.99999999999998,-4.6651099773928356E8,1.685496642671392E7,-4.496560313125696E8
8.09999999999998,-4.808714115036781E8,1.6740595720321927E7,-4.6413081578335613E8
8.14999999999998,-4.7734314163957477E8,1.6568561466233715E7,-4.6077458017334104E8
8.199999999999982,-4.8596164361635184E8,1.6230722093718275E7,-4.697309215226335E8
8.249999999999982,-4.7805125268880975E8,1.596926083095181E7,-4.620819918578579E8
8.299999999999983,-4.8724414897213113E8,1.5640645883802399E7,-4.716035030883287E8
8.399999999999984,-4.877112489792028E8,1.4959773020799473E7,-4.7275147595840335E8
8.449999999999985,-4.7556210726851165E8,1.463711174484016E7,-4.609249955236715E8
8.499999999999986,-4.907755274558419E8,1.4220812211375192E7,-4.7655471524446666E8
8.549999999999986,-4.7414960263972807E8,1.3903039797564767E7,-4.602465628421633E8
8.599999999999987,-4.8921293170775104E8,1.33860969539195E7,-4.758268347538315E8
8.699999999999989,-4.8045106536611295E8,1.2369696242786542E7,-4.680813691233264E8
8.74999999999999,-4.5566196469773173E8,1.1861798617766231E7,-4.4380016607996553E8
8.79999999999999,-4.6786627242923594E8,1.1175260908898942E7,-4.56691011520337E8
8.84999999999999,-4.4727323673170483E8,1.0673493994921517E7,-4.365997427367834E8
8.899999999999991,-4.598484349324902E8,1.0079942194023639E7,-4.4976849273846656E8
8.999999999999993,-4.4149516038126904E8,8675071.7392755,-4.328200886419935E8
9.049999999999994,-4.1389400978185415E8,7931343.923859946,-4.059626658579942E8
9.099999999999994,-4.257376825734081E8,7107747.788456824,-4.1862993478495127E8
9.149999999999995,-3.938113581379293E8,6393166.228392005,-3.874181919095374E8
9.249999999999996,-3.711221458281803E8,4618188.527417416,-3.665039573007629E8
9.299999999999997,-3.719584643781886E8,3683177.7936402876,-3.6827528658454823E8
9.349999999999998,-3.4338281137342846E8,2753858.8200486973,-3.406289525533798E8
9.399999999999999,-3.469159783950778E8,1745438.289166443,-3.451705401059114E8
9.45,-3.155457232950976E8,877278.5137475207,-3.146684447813501E8
9.55,-2.8774467781242466E8,-1079543.6453409474,-2.888242214577656E8
9.600000000000001,-2.9031952214603186E8,-2180679.820081802,-2.925002019661137E8
9.650000000000002,-2.5890029974230123E8,-3135379.7450045943,-2.6203567948730582E8
9.700000000000003,-2.6133732551992118E8,-4201027.456764832,-2.65538352976686E8
9.750000000000004,-2.2638482476531744E8,-5199374.728087001,-2.3158419949340445E8
9.850000000000005,-1.9030031053554174E8,-7550970.021533303,-1.9785128055707505E8
9.900000000000006,-1.9220681975478122E8,-8768990.807027265,-2.0097581056180847E8
9.950000000000006,-1.5515561858611524E8,-9782862.991499566,-1.649384815776148E8
10.000000000000007,-1.5261351858288395E8,-1.1074067771350913E7,-1.6368758635423484E8
10.050000000000008,-1.1428591250096136E8,-1.2339226033765905E7,-1.2662513853472728E8
10.15000000000001,-7.430401851470321E7,-1.4708561558683872E7,-8.901258007338709E7
10.20000000000001,-7.219560565870139E7,-1.6129783782528266E7,-8.832538944122966E7
10.25000000000001,-3.8911076165261984E7,-1.7364387873231288E7,-5.6275464038493276E7
10.300000000000011,-3.652499473726785E7,-1.8601476936794944E7,-5.5126471674062796E7
10.400000000000013,1975338.3791378438,-2.1138724773830876E7,-1.9163386394693032E7
10.450000000000014,4.252309533942807E7,-2.1069846013559513E7,2.1453249325868554E7
10.500000000000014,4.181975008993077E7,-2.5889859478465885E7,1.5929890611464888E7
10.550000000000015,8.351008127262223E7,-2.343159903049676E7,6.007848224212547E7
10.600000000000016,8.362332836804342E7,-2.9215467840584382E7,5.440786052745904E7
10.700000000000017,1.2262443674598986E8,-3.2106550612682834E7,9.051788613330702E7
10.750000000000018,1.641902489465592E8,-2.8505061688875794E7,1.356851872576834E8
10.800000000000018,1.6215347045979786E8,-3.490463740339577E7,1.2724883305640209E8
10.85000000000002,2.011668981492278E8,-3.0912704011677876E7,1.7025419413754994E8
10.90000000000002,1.9904160830786556E8,-3.7800172668079585E7,1.61241435639786E8
11.000000000000021,2.3934624668784046E8,-4.033947867663895E7,1.990067680112015E8
11.050000000000022,2.7848502180341446E8,-3.57110355995389E7,2.4277398620387557E8
11.100000000000023,2.7207709421250105E8,-4.301571541365769E7,2.2906137879884338E8
11.150000000000023,3.1503817401813865E8,-3.792942119512558E7,2.7710875282301307E8
