"Time","hull Moment Monitor: hull Moment Monitor (N-m)","tank Moment Monitor: tank Moment Monitor (N-m)","Total Moment Monitor: Total Moment Monitor (N-m)"
0.05,-1.1176353293544659E10,-1.812123899015022E7,-1.119447453253481E10
0.1,-2.3804571292712617E9,6996925.1800712915,-2.3734602040911903E9
0.15000000000000002,7.914135813931205E8,1.4029929496690923E7,8.054435108898115E8
0.2,1.0218075257969548E9,2815303.2698139455,1.0246228290667686E9
0.25,3.275888535703918E8,-8752727.582949065,3.1883612598744273E8
0.35,-5.452333045095407E8,2757116.0780875767,-5.424761884314531E8
0.39999999999999997,-3.802139243134483E8,2766265.7239748086,-3.7744765858947355E8
0.44999999999999996,-2.689670813418848E8,418857.57635998726,-2.685482237655248E8
0.49999999999999994,-2.7634106111568135E8,-1302775.9046440553,-2.7764383702032536E8
0.5499999999999999,-3.091453099591116E8,-1124628.8256697655,-3.1026993878478134E8
0.65,-3.7712464559341276E8,729209.4874289706,-3.763954361059838E8
0.7000000000000001,-3.9616833340868795E8,859207.4821453579,-3.953091259265426E8
0.7500000000000001,-3.7662290275704193E8,336456.8288275078,-3.7628644592821443E8
0.8000000000000002,-4.019405856781368E8,144359.76231099106,-4.0179622591582584E8
0.8500000000000002,-3.927475697440985E8,85471.83328963071,-3.9266209791080886E8
0.9500000000000003,-4.124999548112922E8,363101.45877709426,-4.121368533525151E8
1.0000000000000002,-4.403300381550722E8,420215.8437182978,-4.399098223113539E8
1.0500000000000003,-4.309289883584306E8,427729.15459832177,-4.3050125920383227E8
1.1000000000000003,-4.528827117784865E8,394610.36004516296,-4.5248810141844136E8
1.2000000000000004,-4.542726911636021E8,386489.8300614748,-4.538862013335406E8
1.2500000000000004,-4.405110102884121E8,433259.86216729507,-4.400777504262448E8
1.3000000000000005,-4.5891142184636796E8,454834.84554155543,-4.5845658700082636E8
1.3500000000000005,-4.472310887555423E8,415883.5667752307,-4.468152051887671E8
1.4000000000000006,-4.6897585147197604E8,580964.0283421557,-4.683948874436339E8
1.5000000000000007,-4.636125960949944E8,531825.6916988418,-4.630807704032956E8
1.5500000000000007,-4.43020259497409E8,493384.5560656488,-4.425268749413433E8
1.6000000000000008,-4.6031486534712577E8,434720.7190712765,-4.598801446280545E8
1.6500000000000008,-4.394349746496813E8,469609.48977765813,-4.3896536515990365E8
1.7000000000000008,-4.5447060487503195E8,405266.4558627587,-4.540653384191692E8
1.800000000000001,-4.4437575109919167E8,379514.68631687574,-4.439962364128748E8
1.850000000000001,-4.197632972514424E8,297819.6620021411,-4.194654775894402E8
1.900000000000001,-4.312201680442356E8,98212.2625029264,-4.311219557817327E8
1.950000000000001,-4.0324893183309364E8,5069.203568212688,-4.032438626295254E8
2.000000000000001,-4.0904027132180285E8,-200225.9828642942,-4.092404973046671E8
2.1000000000000005,-3.862083457690349E8,-630650.7224941347,-3.8683899649152905E8
2.1500000000000004,-3.54437324545259E8,-756107.6960893245,-3.551934322413483E8
2.2,-3.5783090735096735E8,-1018220.12277913,-3.588491274737465E8
2.25,-3.2085422935882837E8,-1178707.1614567451,-3.220329365202851E8
2.3499999999999996,-2.817085937243432E8,-1930956.5068180757,-2.8363955023116124E8
2.3999999999999995,-2.857570760309426E8,-2290586.6208526464,-2.8804766265179527E8
2.4499999999999993,-2.4579420825387686E8,-2464719.1906107515,-2.482589274444876E8
2.499999999999999,-2.432028254615124E8,-2851739.4355270267,-2.460545648970394E8
2.549999999999999,-2.0696954653494722E8,-2925144.1744831894,-2.098946907094304E8
2.6499999999999986,-1.6678798738305503E8,-3591843.131277038,-1.7037983051433206E8
2.6999999999999984,-1.6766190114828664E8,-4485603.922221583,-1.7214750507050824E8
2.7499999999999982,-1.296531185694297E8,-4507285.121526824,-1.3416040369095652E8
2.799999999999998,-1.2750422590235537E8,-4702274.321052743,-1.3220650022340812E8
2.849999999999998,-8.880548336344709E7,-4857968.927800164,-9.366345229124725E7
2.9499999999999975,-5.046386718280107E7,-5363080.3729942795,-5.582694755579535E7
2.9999999999999973,-5.357160771594858E7,-5647348.305977737,-5.921895602192632E7
3.049999999999997,-1.5354643998481274E7,-5682646.144664241,-2.1037290143145517E7
3.099999999999997,-1.7005013190349013E7,-5927010.358097473,-2.2932023548446484E7
3.149999999999997,2.0825753099535584E7,-5919961.408961855,1.490579169057373E7
3.2499999999999964,4.982046889984608E7,-5473633.372372,4.4346835527474076E7
3.2999999999999963,4.43719274736191E7,-6592133.391938916,3.7779794081680186E7
3.349999999999996,7.861993873298958E7,-6146137.693275623,7.247380103971396E7
3.399999999999996,6.924892632545361E7,-5907195.508636486,6.334173081681712E7
3.4999999999999956,9.648817114539737E7,-5349368.617236449,9.113880252816091E7
3.5499999999999954,1.2960778204312956E8,-5078763.932426401,1.2452901811070317E8
3.599999999999995,1.2064443893594955E8,-5047455.364577779,1.1559698357137176E8
3.649999999999995,1.5281350592585495E8,-4156023.9390542107,1.4865748198680076E8
3.699999999999995,1.4156608473524046E8,-5168351.759908129,1.3639773297533232E8
3.7999999999999945,1.6006453142550957E8,-4285973.43977914,1.557785579857304E8
3.8499999999999943,1.905322251960947E8,-3424506.800243605,1.871077183958511E8
3.899999999999994,1.7842474704220426E8,-2868008.6041473174,1.7555673843805695E8
3.949999999999994,2.0435938902256083E8,-2247240.615088564,2.0211214840747228E8
3.999999999999994,1.9329964276705277E8,-1953498.081826914,1.9134614468522584E8
4.099999999999993,2.0659473762290215E8,-1789383.3344220705,2.0480535428848007E8
4.149999999999993,2.330773814223696E8,-783092.5126130786,2.322942889097565E8
4.199999999999993,2.1550130684001988E8,73610.26542802155,2.1557491710544792E8
4.249999999999993,2.4433589036063915E8,1011023.4836948812,2.45346913844334E8
4.299999999999993,2.2338716089424294E8,1400624.1872265656,2.247877850814695E8
4.399999999999992,2.2618021351353323E8,2113818.809227705,2.2829403232276097E8
4.449999999999992,2.36605795221775E8,3611985.17625588,2.4021778039803088E8
4.499999999999992,2.202675924511484E8,5161869.178547405,2.254294616296958E8
4.549999999999992,2.4214057272822204E8,6293700.858187567,2.4843427358640963E8
4.6499999999999915,2.303741915329806E8,8641799.068243979,2.390159906012246E8
4.699999999999991,1.9653596358557358E8,9184430.22250782,2.0572039380808142E8
4.749999999999991,2.224508962009027E8,1.0780167508961845E7,2.3323106370986456E8
4.799999999999991,2.148688550022748E8,1.0777169349544913E7,2.2564602435181972E8
4.849999999999991,2.1821845166782907E8,1.2182451784826541E7,2.3040090345265558E8
4.94999999999999,2.207165937006705E8,1.4070341509800594E7,2.3478693521047112E8
4.99999999999999,2.0712229076612425E8,1.3536685321467955E7,2.206589760875922E8
5.04999999999999,2.1503800041976678E8,1.5335839553976221E7,2.3037383997374302E8
5.09999999999999,2.0300656988299793E8,1.5661766613951523E7,2.1866833649694946E8
5.14999999999999,2.293157931962034E8,1.695083715173398E7,2.4626663034793738E8
5.249999999999989,2.1003082023590887E8,1.919124765048231E7,2.292220678863912E8
5.299999999999989,1.9826885437295568E8,1.9758428936991677E7,2.1802728330994737E8
5.349999999999989,1.898156182743311E8,2.005963361315134E7,2.0987525188748243E8
5.399999999999989,1.7845617761392498E8,2.1552593232773818E7,2.000087708466988E8
5.449999999999989,1.9600398230958074E8,2.28128560147679E7,2.1881683832434863E8
5.549999999999988,1.6195276674595234E8,2.4369601692326553E7,1.8632236843827888E8
5.599999999999988,1.577046727479921E8,2.621119702175189E7,1.8391586976974398E8
5.649999999999988,1.6282214834278035E8,2.7242883308096927E7,1.9006503165087727E8
5.699999999999988,1.4370103987399817E8,2.744506756071855E7,1.711461074347167E8
5.799999999999987,1.1099627598274964E8,3.02272254108421E7,1.4122350139359173E8
5.849999999999987,1.2113888732047081E8,3.1968981804774493E7,1.531078691252453E8
5.899999999999987,1.0892053475773215E8,3.2939047329955045E7,1.418595820876872E8
5.949999999999987,1.079722115518862E8,3.389876337409268E7,1.4187097492597887E8
5.999999999999987,8.706795477794576E7,3.462514886166091E7,1.2169310363960667E8
6.099999999999986,6.923974823347938E7,3.7719367914301015E7,1.0695911614778039E8
6.149999999999986,5.7820008304362E7,3.874257786277217E7,9.656258616713417E7
6.199999999999986,3.0956937823958382E7,4.0470396551982775E7,7.142733437594116E7
6.249999999999986,3.5105196295668095E7,4.153283817562461E7,7.66380344712927E7
6.299999999999986,2.0467153944268227E7,4.3309809213265166E7,6.377696315753339E7
6.399999999999985,-5191034.610586852,4.5851824484702066E7,4.0660789874115214E7
6.449999999999985,-1.2177147004138917E7,4.630735801672508E7,3.413021101258616E7
6.499999999999985,-3.0563273603720963E7,4.831628859585649E7,1.7753014992135525E7
6.549999999999985,-4.2447091556367576E7,4.8626629404871054E7,6179537.848503478
6.5999999999999845,-6.214566862683468E7,5.1150051943110704E7,-1.0995616683723979E7
6.699999999999984,-8.619766024666499E7,5.4171746705612525E7,-3.2025913541052468E7
6.749999999999984,-1.0297039813549796E8,5.400379467976351E7,-4.896660345573444E7
6.799999999999984,-1.1641963496881624E8,5.7126068491803005E7,-5.929356647701323E7
6.849999999999984,-1.2816577557270783E8,5.663628060161221E7,-7.152949497109562E7
6.949999999999983,-1.6567022968969315E8,5.909426342481826E7,-1.065759662648749E8
6.999999999999983,-1.8096162728551078E8,6.286171975755541E7,-1.1809990752795535E8
7.049999999999983,-1.8906526410664406E8,6.185391549536644E7,-1.2721134861127764E8
7.099999999999983,-2.08683206948883E8,6.543377589876549E7,-1.4324943105011752E8
7.149999999999983,-2.2494904368633842E8,6.408827024287043E7,-1.6086077344346797E8
7.249999999999982,-2.5229811987573665E8,6.581816995286694E7,-1.864799499228697E8
7.299999999999982,-2.729943359067245E8,7.128913390493032E7,-2.017052020017942E8
7.349999999999982,-2.860932549278162E8,6.93371037714909E7,-2.167561511563253E8
7.399999999999982,-3.0201780941401243E8,7.337993908318523E7,-2.286378703308272E8
7.4499999999999815,-3.1447366548518735E8,7.106508327359715E7,-2.4340858221159017E8
7.549999999999981,-3.471914711772004E8,7.313557271996763E7,-2.740558984572327E8
7.599999999999981,-3.638122046014115E8,7.820114900471392E7,-2.856110555966976E8
7.649999999999981,-3.770475262434975E8,7.534454797723824E7,-3.0170297826625925E8
7.699999999999981,-3.956833797552706E8,8.019525922263221E7,-3.154881205326384E8
7.7499999999999805,-4.079774088577005E8,7.709054056559922E7,-3.308868682921013E8
7.84999999999998,-4.3397165562884533E8,7.903557252724764E7,-3.5493608310159767E8
7.89999999999998,-4.513768200580509E8,8.441091049852669E7,-3.669659095595242E8
7.94999999999998,-4.620456913383687E8,8.257128784808443E7,-3.794744034902843E8
7.99999999999998,-4.829002077908449E8,8.396430563602063E7,-3.9893590215482426E8
8.09999999999998,-5.091106389619436E8,8.845934782282057E7,-4.20651291139123E8
8.14999999999998,-5.165107496828678E8,8.378304291706452E7,-4.327277067658033E8
8.199999999999982,-5.348020684989376E8,8.942279521775788E7,-4.453792732811797E8
8.249999999999982,-5.439795958887087E8,8.454697454821683E7,-4.5943262134049183E8
8.299999999999983,-5.616703537332263E8,9.037357171594198E7,-4.7129678201728433E8
8.399999999999984,-5.868604123645456E8,9.157903079678479E7,-4.9528138156776077E8
8.449999999999985,-5.914678768831952E8,8.648618263715114E7,-5.0498169424604404E8
8.499999999999986,-6.052535417300762E8,9.202051953438057E7,-5.1323302219569576E8
8.549999999999986,-6.118315135837338E8,8.865399272182211E7,-5.231775208619116E8
8.599999999999987,-6.281469178543885E8,8.969624398359348E7,-5.38450673870795E8
8.699999999999989,-6.477113083328742E8,9.27150849895847E7,-5.549962233432895E8
8.74999999999999,-6.498485138705981E8,8.706519185729833E7,-5.627833220132997E8
8.79999999999999,-6.604889442296551E8,9.251740720519453E7,-5.679715370244606E8
8.84999999999999,-6.64367791388829E8,8.730907092697519E7,-5.770587204618537E8
8.899999999999991,-6.785088819442874E8,9.070160958618179E7,-5.878072723581055E8
8.999999999999993,-6.87511545624796E8,8.988743815784256E7,-5.976241074669534E8
9.049999999999994,-6.903601405562621E8,8.525276468701595E7,-6.051073758692462E8
9.099999999999994,-6.9901965141895E8,8.888394220994642E7,-6.101357092090036E8
9.149999999999995,-6.987098632724224E8,8.274419021832767E7,-6.159656730540948E8
9.249999999999996,-7.006174149918056E8,8.303943166138965E7,-6.175779833304158E8
9.299999999999997,-7.084091859892914E8,8.562105677677158E7,-6.227881292125199E8
9.349999999999998,-7.081040491031432E8,7.8857450938915E7,-6.292465981642282E8
9.399999999999999,-7.105518940441008E8,8.552313903146802E7,-6.250287550126327E8
9.45,-7.067846998676816E8,7.782491770214307E7,-6.289597821655384E8
9.55,-7.048786524936373E8,7.50621799583134E7,-6.298164725353239E8
9.600000000000001,-7.071094855040402E8,7.973506745250966E7,-6.273744180515305E8
9.650000000000002,-7.012660626827652E8,7.222942853952068E7,-6.290366341432446E8
9.700000000000003,-6.99681375461034E8,7.67421091618921E7,-6.22939266299142E8
9.750000000000004,-6.95320067154837E8,6.92418064851534E7,-6.260782606696837E8
9.850000000000005,-6.835408984792337E8,6.56298049901921E7,-6.179110934890416E8
9.900000000000006,-6.838857263378215E8,6.938929315616246E7,-6.144964331816591E8
9.950000000000006,-6.714673978160021E8,6.2071294550999634E7,-6.093961032650025E8
10.000000000000007,-6.66309792693452E8,6.5104225823951975E7,-6.012055668695E8
10.050000000000008,-6.55719233358035E8,5.7783238603505015E7,-5.9793599475453E8
10.15000000000001,-6.341007741282794E8,5.3478985574184135E7,-5.806217885540953E8
10.20000000000001,-6.293204090245563E8,5.540703931635434E7,-5.739133697082019E8
10.25000000000001,-6.146891586947067E8,4.8545968335521564E7,-5.661431903591852E8
10.300000000000011,-6.079263128636445E8,5.035307118194722E7,-5.575732416816972E8
10.400000000000013,-5.797514428349332E8,4.48591556516072E7,-5.34892287183326E8
10.450000000000014,-5.651807701647427E8,3.8383004424349576E7,-5.267977657403931E8
10.500000000000014,-5.531021192523103E8,3.8805522340793334E7,-5.1429659691151696E8
10.550000000000015,-5.376334825998886E8,3.291798849819178E7,-5.0471549410169685E8
10.600000000000016,-5.2559617330229974E8,3.277798514639624E7,-4.928181881559035E8
10.700000000000017,-4.832378362992202E8,2.6466282964823794E7,-4.567715533343964E8
10.750000000000018,-4.6864874647183853E8,2.122074697030539E7,-4.4742799950153315E8
10.800000000000018,-4.5680535650654066E8,1.9317433627186008E7,-4.3748792287935466E8
10.85000000000002,-4.359055632949885E8,1.4896175846869335E7,-4.210093874481192E8
10.90000000000002,-4.234086675980909E8,1.3249729275006065E7,-4.1015893832308483E8
11.000000000000021,-3.911042546072165E8,6206878.377592087,-3.848973762296244E8
11.050000000000022,-3.6408073964079285E8,2775144.66763998,-3.613055949731529E8
11.100000000000023,-3.4954726644401956E8,-723404.0828135284,-3.5027067052683306E8
